lambda[micron],Kabs[cm^2/g]
1.9518473501426692,21536.657000614705
1.9667546413488459,21268.089192917389
1.9817757874274788,20999.313948789917
1.9969116579484871,20739.182355790461
2.0121631291231519,20478.798949995529
2.0275310838548464,20222.700647748494
2.0430164117901426,19973.253336703609
2.0586200093703160,19725.773614823946
2.0743427798832368,19481.812496225004
2.0901856335156626,19242.848447152548
2.1061494874059310,19008.148203804092
2.1222352656970482,18785.897322596604
2.1384438995901913,18564.562923129019
2.1547763273986118,18338.146505003035
2.1712334946019585,18113.459684669735
2.1878163539010060,17896.519695823834
2.2045258652728124,17688.225078929321
2.2213629960262846,17480.013601788232
2.2383287208581817,17279.748990994362
2.2554240219095392,17069.975136096284
2.2726498888225191,16876.054612369644
2.2900073187977097,16681.609455254391
2.3074973166518435,16488.195890323550
2.3251208948759738,16302.551401151466
2.3428790736940810,16121.241750726847
2.3607728811221373,15938.671478209471
2.3788033530276169,15757.519157459583
2.3969715331894621,15579.149241841038
2.4152784733585073,15403.226707846896
2.4337252333183641,15229.399667467384
2.4523128809467738,15052.572011078455
2.4710424922774230,14875.880292808110
2.4899151515622413,14705.961748264699
2.5089319513341573,14528.787370696051
2.5280939924703589,14352.088238833710
2.5474023842560114,14182.346860430582
2.5668582444484778,14022.233271512110
2.5864626993420288,13863.805358592843
2.6062168838330373,13713.633906007073
2.6261219414856831,13573.868613213725
2.6461790245981485,13443.796780425640
2.6663892942693281,13323.452484902096
2.6867539204660429,13194.730522446560
2.7072740820907715,13071.129741276267
2.7279509670498907,12947.519777090898
2.7487857723224498,12822.906506709211
2.7697797040294607,12695.238649388306
2.7909339775037187,12563.457197534019
2.8122498173601609,12428.671027629731
2.8337284575667527,12291.869676618682
2.8553711415159304,12157.191011482140
2.8771791220965741,12023.878155842678
2.8991536617665381,11894.941273898447
2.9212960326257389,11769.116101953425
2.9436075164897897,11650.566646379955
2.9660894049642121,11539.144787328929
2.9887429995191983,11425.495783263512
3.0115696115649602,11314.029709396338
3.0345705625276409,11206.851484572157
3.0577471839258181,11105.357388685385
3.0811008174475774,11001.822344889699
3.1046328150281881,10905.962930826294
3.1283445389283662,10809.637677144769
3.1522373618131310,10707.852343946015
3.1763126668312749,10608.339822379374
3.2005718476954232,10511.520077845547
3.2250163087627284,10409.653575669065
3.2496474651161606,10305.637615377227
3.2744667426464233,10193.056280981662
3.2994755781345084,10072.131190154330
3.3246754193348576,9944.8598548983609
3.3500677250591848,9818.2388709233037
3.3756539652609212,9703.8604544719456
3.4014356211203047,9600.2543540111055
3.4274141851301363,9515.2623605078188
3.4535911611821737,9441.5679016567065
3.4799680646541891,9371.8286424998441
3.5065464224976961,9288.6727983584060
3.5333277733263500,9199.1126990991106
3.5603136675050089,9110.2507916719715
3.5875056672394914,9020.2980568132662
3.6149053466670025,8934.5711285084453
3.6425142919472742,8855.5775085644527
3.6703341013543711,8774.7187064995906
3.6983663853692317,8691.7223398365550
3.7266127667728810,8610.8070609282167
3.7550748807403882,8526.9863895401486
3.7837543749355187,8443.5411319671057
3.8126529096061139,8365.0407466827655
3.8417721576802131,8285.1202175007038
3.8711138048628846,8203.0301511231028
3.9006795497338271,8105.8808941648986
3.9304711038456834,8006.8730785754096
3.9604901918231348,7914.6065955220247
3.9907385514627349,7841.5069207400929
4.0212179338335030,7788.3273189887195
4.0519301033783073,7740.1950043377974
4.0828768380159906,7671.8984693274260
4.1140599292443127,7573.2485355117406
4.1454811822436453,7451.5666376851595
4.1771424159814741,7348.7558281790152
4.2090454633177092,7286.7718661673116
4.2411921711107796,7256.1072259607472
4.2735844003245456,7227.2637972806851
4.3062240261360403,7170.6223649142075
4.3391129380440079,7074.4337530242510
4.3722530399783013,6975.5979595716535
4.4056462504100935,6895.5733335958485
4.4392945024629302,6840.5846987264895
4.4731997440246536,6792.2330984901291
4.5073639378601467,6741.7551282541344
4.5417890617249750,6681.2059676577655
4.5764771084798683,6611.8636244028203
